"sweep","rep","N","slope_condition","overlap","assign_p","dataset_id","seed","intercept","sigma","slope","K","alpha_conc","period_start","period_end","time_ref_min","time_ref_range"
"core",1,50,"random",0.5,0.2,1,1,13.6432968329173,0.694567870930769,-0.0250920412084088,5,0.154695038809493,100,900,-149,1298
"core",2,50,"random",0.5,0.2,2,2,9.66386758349836,0.732890995917842,0.0282802223693579,6,1.81471743396285,100,900,-149,1298
"core",3,50,"random",0.5,0.2,3,3,9.3412407701835,3.92729983164463,0.0194441541982815,5,0.137188154920638,100,900,-149,1298
"core",4,50,"random",0.5,0.2,4,4,7.5725819459185,3.85813602991402,-0.0163503192504868,7,0.66272631622521,100,900,-149,1298
"core",5,50,"random",0.5,0.2,5,5,6.73715027980506,1.49058306938969,0.000784697039052845,7,0.459652496866225,100,900,-149,1298
"core",6,50,"random",0.5,0.2,6,6,3.34163762023672,1.93199333827943,-0.0167945477971807,7,0.972088631372056,100,900,-149,1298
"core",7,50,"random",0.5,0.2,7,7,11.7193640363403,0.712524655391462,0.0221022370643914,6,5.06036801847188,100,900,-149,1298
"core",8,50,"random",0.5,0.2,8,8,9.3205311705824,3.45761625701562,-0.0136196214146912,8,0.203720489659396,100,900,-149,1298
"core",9,50,"random",0.5,0.2,9,9,4.14528559707105,3.92605249711778,0.00872099810745567,10,1.83444911879242,100,900,-149,1298
"core",10,50,"random",0.5,0.2,10,10,10.3848137462046,3.29857168288436,0.0207330052787438,10,0.379044932366164,100,900,-149,1298
"core",11,50,"random",0.5,0.2,11,11,11.2114461462479,3.87008809449617,0.023578280992806,9,0.509684462672294,100,900,-149,1298
"core",12,50,"random",0.5,0.2,12,12,12.4484911023173,3.34644101688173,-0.013196293450892,8,1.12140569766254,100,900,-149,1298
"core",13,50,"random",0.5,0.2,13,13,7.28028018958867,1.975765501149,-0.0187848184257746,6,0.426795282259663,100,900,-149,1298
"core",14,50,"random",0.5,0.2,14,14,6.95841011218727,1.98562919150572,0.00245614277198911,8,0.399985478146063,100,900,-149,1298
"core",15,50,"random",0.5,0.2,15,15,10.6813196346629,1.54487190779764,0.0119532109843567,7,0.236592776134448,100,900,-149,1298
